timestamp,event_type,count,time_between_opens,door_open_duration
2025-03-31 11:16:53,opened,0,32.80,0.00
2025-03-31 11:16:56,closed,1,32.80,2.43
2025-03-31 11:17:25,opened,1,28.95,0.00
2025-03-31 11:17:25,closed,2,28.95,0.49
2025-03-31 11:20:15,opened,2,170.12,0.00
2025-03-31 11:20:21,closed,3,170.12,6.62
2025-03-31 11:20:41,opened,3,19.49,0.00
2025-03-31 11:20:43,closed,4,19.49,2.71
2025-03-31 11:21:17,opened,4,33.68,0.00
2025-03-31 11:21:20,closed,5,33.68,2.98
2025-03-31 11:22:01,opened,5,40.98,0.00
2025-03-31 11:22:05,closed,6,40.98,4.05
2025-03-31 11:22:30,opened,6,24.39,0.00
2025-03-31 11:22:32,closed,7,24.39,2.37
2025-03-31 11:30:05,opened,7,453.43,0.00
2025-03-31 11:30:14,closed,8,453.43,8.79
2025-03-31 11:45:48,opened,8,933.85,0.00
2025-03-31 11:45:49,closed,9,933.85,1.44
2025-03-31 11:48:52,opened,9,182.39,0.00
2025-03-31 11:48:54,closed,10,182.39,1.71
2025-03-31 11:50:10,opened,10,76.87,0.00
2025-03-31 11:50:17,closed,11,76.87,6.23
2025-03-31 11:58:09,opened,11,472.64,0.00
2025-03-31 11:58:12,closed,12,472.64,2.66
2025-03-31 11:58:41,opened,12,28.88,0.00
2025-03-31 11:58:55,closed,13,28.88,13.78
2025-03-31 12:03:43,opened,13,288.91,0.00
2025-03-31 12:03:51,closed,14,288.91,7.55
2025-03-31 12:10:20,opened,14,389.17,0.00
2025-03-31 12:10:33,closed,15,389.17,12.56
2025-03-31 12:19:18,opened,15,525.28,0.00
2025-03-31 12:19:21,closed,16,525.28,2.80
2025-03-31 12:20:58,opened,16,96.86,0.00
2025-03-31 12:21:00,closed,17,96.86,2.41
2025-03-31 12:21:51,opened,17,50.50,0.00
2025-03-31 12:21:56,closed,18,50.50,5.25
2025-03-31 12:28:20,opened,18,383.68,0.00
2025-03-31 12:28:23,closed,19,383.68,3.27
2025-03-31 12:30:38,opened,19,134.86,0.00
2025-03-31 12:30:46,closed,20,134.86,8.12
2025-03-31 12:40:37,opened,20,591.49,0.00
2025-03-31 12:40:39,closed,21,591.49,1.46
2025-03-31 12:43:27,opened,21,168.19,0.00
2025-03-31 12:43:33,closed,22,168.19,5.66
2025-03-31 12:46:54,opened,22,200.94,0.00
2025-03-31 12:46:56,closed,23,200.94,2.35
2025-03-31 12:53:47,opened,23,410.93,0.00
2025-03-31 12:53:50,closed,24,410.93,3.31
2025-03-31 12:54:24,opened,24,33.58,0.00
2025-03-31 12:54:26,closed,25,33.58,2.64
2025-03-31 13:12:10,opened,25,1063.84,0.00
2025-03-31 13:12:14,closed,26,1063.84,3.33
2025-03-31 13:18:23,opened,26,369.78,0.00
2025-03-31 13:18:25,closed,27,369.78,2.04
2025-03-31 13:49:37,opened,27,1871.58,0.00
2025-03-31 13:49:51,closed,28,1871.58,13.98
